## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Output/BAM/SRR6956534.filtered.bam --OUTPUT Output/BAM/SRR6956534.removeddup.bam --METRICS_FILE logs/SRR6956534_picard.out --REMOVE_DUPLICATES true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 28 02:06:31 CET 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	17318540	0	0	0	5810143	0	0,335487	19640399

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	7845446	7845446
2.0	1,414045	2355655	2355655
3.0	1,585478	812048	812048
4.0	1,656459	301255	301255
5.0	1,685848	116766	116766
6.0	1,698016	45586	45586
7.0	1,703055	18157	18157
8.0	1,705141	7291	7291
9.0	1,706004	2959	2959
10.0	1,706362	1247	1247
11.0	1,70651	594	594
12.0	1,706571	305	305
13.0	1,706597	189	189
14.0	1,706607	126	126
15.0	1,706612	100	100
16.0	1,706613	54	54
17.0	1,706614	66	66
18.0	1,706614	44	44
19.0	1,706615	40	40
20.0	1,706615	50	50
21.0	1,706615	27	27
22.0	1,706615	25	25
23.0	1,706615	21	21
24.0	1,706615	32	32
25.0	1,706615	19	19
26.0	1,706615	20	20
27.0	1,706615	17	17
28.0	1,706615	16	16
29.0	1,706615	11	11
30.0	1,706615	6	6
31.0	1,706615	15	15
32.0	1,706615	11	11
33.0	1,706615	7	7
34.0	1,706615	3	3
35.0	1,706615	8	8
36.0	1,706615	6	6
37.0	1,706615	9	9
38.0	1,706615	5	5
39.0	1,706615	10	10
40.0	1,706615	9	9
41.0	1,706615	4	4
42.0	1,706615	8	8
43.0	1,706615	4	4
44.0	1,706615	2	2
45.0	1,706615	3	3
46.0	1,706615	4	4
47.0	1,706615	3	3
48.0	1,706615	2	2
49.0	1,706615	4	4
50.0	1,706615	3	3
51.0	1,706615	4	4
52.0	1,706615	3	3
53.0	1,706615	6	6
54.0	1,706615	3	3
55.0	1,706615	5	5
56.0	1,706615	1	1
57.0	1,706615	2	2
58.0	1,706615	3	3
59.0	1,706615	0	0
60.0	1,706615	1	1
61.0	1,706615	3	3
62.0	1,706615	5	5
63.0	1,706615	1	1
64.0	1,706615	4	4
65.0	1,706615	2	2
66.0	1,706615	3	3
67.0	1,706615	2	2
68.0	1,706615	1	1
69.0	1,706615	1	1
70.0	1,706615	3	3
71.0	1,706615	4	4
72.0	1,706615	2	2
73.0	1,706615	2	2
74.0	1,706615	3	3
75.0	1,706615	2	2
76.0	1,706615	0	0
77.0	1,706615	0	0
78.0	1,706615	0	0
79.0	1,706615	0	0
80.0	1,706615	0	0
81.0	1,706615	0	0
82.0	1,706615	3	3
83.0	1,706615	1	1
84.0	1,706615	1	1
85.0	1,706615	2	2
86.0	1,706615	0	0
87.0	1,706615	1	1
88.0	1,706615	1	1
89.0	1,706615	0	0
90.0	1,706615	1	1
91.0	1,706615	2	2
92.0	1,706615	1	1
93.0	1,706615	0	0
94.0	1,706615	0	0
95.0	1,706615	0	0
96.0	1,706615	1	1
97.0	1,706615	1	1
98.0	1,706615	0	0
99.0	1,706615	0	0
100.0	1,706615	1	1
101.0	0	1	1
105.0	0	1	1
106.0	0	1	1
109.0	0	1	1
110.0	0	1	1
111.0	0	1	1
113.0	0	2	2
114.0	0	1	1
122.0	0	1	1
125.0	0	1	1
128.0	0	1	1
129.0	0	1	1
132.0	0	1	1
138.0	0	2	2
140.0	0	1	1
143.0	0	1	1
150.0	0	1	1
182.0	0	1	1
280.0	0	1	1
292.0	0	1	1
361.0	0	1	1

